merged_origins
"['source_1.bib/0000000001', 'source_1.bib/0000000002']"
"['source_1.bib/0000000003', 'source_1.bib/0000000004']"
"['source_1.bib/0000000005', 'source_1.bib/0000000006', 'source_1.bib/0000000007', 'source_1.bib/0000000008']"
"['source_1.bib/0000000009', 'source_1.bib/0000000010']"
"['source_1.bib/0000000011', 'source_1.bib/0000000012', 'source_1.bib/0000000013']"
"['source_1.bib/0000000014', 'source_1.bib/0000000015']"
"['source_1.bib/0000000016', 'source_1.bib/0000000017']"
"['source_1.bib/0000000018', 'source_1.bib/0000000019']"
"['source_1.bib/0000000020', 'source_1.bib/0000000021', 'source_1.bib/0000001147']"
"['source_1.bib/0000000022', 'source_1.bib/0000000025']"
"['source_1.bib/0000000023', 'source_1.bib/0000000024']"
"['source_1.bib/0000000026', 'source_1.bib/0000000027']"
"['source_1.bib/0000000028', 'source_1.bib/0000000029', 'source_1.bib/0000000030']"
"['source_1.bib/0000000031', 'source_1.bib/0000000032', 'source_1.bib/0000000033']"
"['source_1.bib/0000000034', 'source_1.bib/0000000035', 'source_1.bib/0000000036']"
"['source_1.bib/0000000037', 'source_1.bib/0000000038', 'source_1.bib/0000000039', 'source_1.bib/0000000040']"
"['source_1.bib/0000000041', 'source_1.bib/0000000042']"
"['source_1.bib/0000000043', 'source_1.bib/0000000044']"
"['source_1.bib/0000000045', 'source_1.bib/0000000046']"
"['source_1.bib/0000000047', 'source_1.bib/0000000048']"
"['source_1.bib/0000000049', 'source_1.bib/0000000050', 'source_1.bib/0000000051']"
"['source_1.bib/0000000052', 'source_1.bib/0000000054', 'source_1.bib/0000000055']"
"['source_1.bib/0000000053', 'source_1.bib/0000000056']"
"['source_1.bib/0000000057', 'source_1.bib/0000000058']"
"['source_1.bib/0000000059', 'source_1.bib/0000000060', 'source_1.bib/0000000061']"
"['source_1.bib/0000000062', 'source_1.bib/0000000063']"
"['source_1.bib/0000000064', 'source_1.bib/0000000065', 'source_1.bib/0000000066']"
"['source_1.bib/0000000067', 'source_1.bib/0000000068', 'source_1.bib/0000000069']"
"['source_1.bib/0000000070', 'source_1.bib/0000000071', 'source_1.bib/0000000072']"
"['source_1.bib/0000000073', 'source_1.bib/0000000074']"
"['source_1.bib/0000000075', 'source_1.bib/0000000078', 'source_1.bib/0000000079']"
"['source_1.bib/0000000076', 'source_1.bib/0000000077']"
"['source_1.bib/0000000080', 'source_1.bib/0000000081']"
"['source_1.bib/0000000082', 'source_1.bib/0000000083']"
"['source_1.bib/0000000084', 'source_1.bib/0000000085']"
"['source_1.bib/0000000086', 'source_1.bib/0000000087']"
"['source_1.bib/0000000088', 'source_1.bib/0000000089']"
"['source_1.bib/0000000090', 'source_1.bib/0000000091', 'source_1.bib/0000000282']"
"['source_1.bib/0000000092', 'source_1.bib/0000000093', 'source_1.bib/0000000094']"
"['source_1.bib/0000000095', 'source_1.bib/0000000096', 'source_1.bib/0000000097']"
"['source_1.bib/0000000098', 'source_1.bib/0000000099']"
"['source_1.bib/0000000100', 'source_1.bib/0000000101', 'source_1.bib/0000000103']"
"['source_1.bib/0000000102', 'source_1.bib/0000000104']"
"['source_1.bib/0000000105', 'source_1.bib/0000000107']"
"['source_1.bib/0000000106', 'source_1.bib/0000000108']"
"['source_1.bib/0000000109', 'source_1.bib/0000000110', 'source_1.bib/0000000111', 'source_1.bib/0000000112']"
"['source_1.bib/0000000113', 'source_1.bib/0000000114']"
"['source_1.bib/0000000115', 'source_1.bib/0000000116']"
"['source_1.bib/0000000117', 'source_1.bib/0000000118']"
"['source_1.bib/0000000119', 'source_1.bib/0000000120']"
"['source_1.bib/0000000121', 'source_1.bib/0000000122', 'source_1.bib/0000000123']"
"['source_1.bib/0000000124', 'source_1.bib/0000000125']"
"['source_1.bib/0000000126', 'source_1.bib/0000000127', 'source_1.bib/0000000128', 'source_1.bib/0000000129']"
"['source_1.bib/0000000130', 'source_1.bib/0000000131']"
"['source_1.bib/0000000132', 'source_1.bib/0000000133']"
"['source_1.bib/0000000134', 'source_1.bib/0000000137']"
"['source_1.bib/0000000135', 'source_1.bib/0000000136']"
"['source_1.bib/0000000138', 'source_1.bib/0000000139', 'source_1.bib/0000000140', 'source_1.bib/0000000143']"
"['source_1.bib/0000000141', 'source_1.bib/0000000142']"
"['source_1.bib/0000000144', 'source_1.bib/0000000145', 'source_1.bib/0000000146']"
"['source_1.bib/0000000147', 'source_1.bib/0000000148', 'source_1.bib/0000000149']"
"['source_1.bib/0000000150', 'source_1.bib/0000000151']"
"['source_1.bib/0000000152', 'source_1.bib/0000000153']"
"['source_1.bib/0000000154', 'source_1.bib/0000000156']"
"['source_1.bib/0000000155', 'source_1.bib/0000000157']"
"['source_1.bib/0000000158', 'source_1.bib/0000000159']"
"['source_1.bib/0000000160', 'source_1.bib/0000000161']"
"['source_1.bib/0000000162', 'source_1.bib/0000000163']"
"['source_1.bib/0000000164', 'source_1.bib/0000000165']"
"['source_1.bib/0000000166', 'source_1.bib/0000000167']"
"['source_1.bib/0000000168', 'source_1.bib/0000000169', 'source_1.bib/0000000170']"
"['source_1.bib/0000000171', 'source_1.bib/0000000172']"
"['source_1.bib/0000000173', 'source_1.bib/0000000174']"
"['source_1.bib/0000000175', 'source_1.bib/0000000176']"
"['source_1.bib/0000000177', 'source_1.bib/0000000178']"
"['source_1.bib/0000000179', 'source_1.bib/0000000180']"
"['source_1.bib/0000000181', 'source_1.bib/0000000182']"
"['source_1.bib/0000000183', 'source_1.bib/0000000184']"
"['source_1.bib/0000000185', 'source_1.bib/0000000187']"
"['source_1.bib/0000000186', 'source_1.bib/0000000188']"
"['source_1.bib/0000000189', 'source_1.bib/0000000190']"
"['source_1.bib/0000000191', 'source_1.bib/0000000193']"
"['source_1.bib/0000000192', 'source_1.bib/0000000194']"
"['source_1.bib/0000000195', 'source_1.bib/0000000197']"
"['source_1.bib/0000000196', 'source_1.bib/0000000198']"
"['source_1.bib/0000000199', 'source_1.bib/0000000200']"
"['source_1.bib/0000000201', 'source_1.bib/0000000203']"
"['source_1.bib/0000000202', 'source_1.bib/0000000204']"
"['source_1.bib/0000000205', 'source_1.bib/0000000206']"
"['source_1.bib/0000000207', 'source_1.bib/0000000208']"
"['source_1.bib/0000000209', 'source_1.bib/0000000210', 'source_1.bib/0000000211']"
"['source_1.bib/0000000212', 'source_1.bib/0000000213']"
"['source_1.bib/0000000214', 'source_1.bib/0000000215']"
"['source_1.bib/0000000216', 'source_1.bib/0000000217', 'source_1.bib/0000000220']"
"['source_1.bib/0000000218', 'source_1.bib/0000000219']"
"['source_1.bib/0000000221', 'source_1.bib/0000000222']"
"['source_1.bib/0000000223', 'source_1.bib/0000000225', 'source_1.bib/0000000226']"
"['source_1.bib/0000000224', 'source_1.bib/0000000227']"
"['source_1.bib/0000000228', 'source_1.bib/0000000229', 'source_1.bib/0000000230']"
"['source_1.bib/0000000231', 'source_1.bib/0000000232']"
"['source_1.bib/0000000233', 'source_1.bib/0000000234', 'source_1.bib/0000000235']"
"['source_1.bib/0000000236', 'source_1.bib/0000000237', 'source_1.bib/0000000238']"
"['source_1.bib/0000000239', 'source_1.bib/0000000240']"
"['source_1.bib/0000000241', 'source_1.bib/0000000242', 'source_1.bib/0000000243', 'source_1.bib/0000000244']"
"['source_1.bib/0000000245', 'source_1.bib/0000000246']"
"['source_1.bib/0000000247', 'source_1.bib/0000000248', 'source_1.bib/0000000249']"
"['source_1.bib/0000000250', 'source_1.bib/0000000251']"
"['source_1.bib/0000000252', 'source_1.bib/0000000253']"
"['source_1.bib/0000000254', 'source_1.bib/0000000255']"
"['source_1.bib/0000000256', 'source_1.bib/0000000257']"
"['source_1.bib/0000000258', 'source_1.bib/0000000259']"
"['source_1.bib/0000000260', 'source_1.bib/0000000261', 'source_1.bib/0000000262', 'source_1.bib/0000000263']"
"['source_1.bib/0000000264', 'source_1.bib/0000000265']"
"['source_1.bib/0000000266', 'source_1.bib/0000000267', 'source_1.bib/0000000268']"
"['source_1.bib/0000000269', 'source_1.bib/0000000270']"
"['source_1.bib/0000000271', 'source_1.bib/0000000272']"
"['source_1.bib/0000000273', 'source_1.bib/0000000274', 'source_1.bib/0000000275']"
"['source_1.bib/0000000276', 'source_1.bib/0000000277']"
"['source_1.bib/0000000278', 'source_1.bib/0000000279']"
"['source_1.bib/0000000280', 'source_1.bib/0000000281']"
"['source_1.bib/0000000283', 'source_1.bib/0000000284']"
"['source_1.bib/0000000285', 'source_1.bib/0000000286']"
"['source_1.bib/0000000287', 'source_1.bib/0000000288']"
"['source_1.bib/0000000289', 'source_1.bib/0000000290', 'source_1.bib/0000000291']"
"['source_1.bib/0000000292', 'source_1.bib/0000000293']"
"['source_1.bib/0000000294', 'source_1.bib/0000000295']"
"['source_1.bib/0000000296', 'source_1.bib/0000000297', 'source_1.bib/0000000298', 'source_1.bib/0000000299']"
"['source_1.bib/0000000300', 'source_1.bib/0000000301']"
"['source_1.bib/0000000302', 'source_1.bib/0000000303']"
"['source_1.bib/0000000304', 'source_1.bib/0000000305', 'source_1.bib/0000000306']"
"['source_1.bib/0000000307', 'source_1.bib/0000000308']"
"['source_1.bib/0000000309', 'source_1.bib/0000000310', 'source_1.bib/0000000311']"
"['source_1.bib/0000000312', 'source_1.bib/0000000313', 'source_1.bib/0000000314']"
"['source_1.bib/0000000315', 'source_1.bib/0000000316']"
"['source_1.bib/0000000317', 'source_1.bib/0000000318', 'source_1.bib/0000000319']"
"['source_1.bib/0000000320', 'source_1.bib/0000000321']"
"['source_1.bib/0000000322', 'source_1.bib/0000000323', 'source_1.bib/0000000324']"
"['source_1.bib/0000000325', 'source_1.bib/0000000326', 'source_1.bib/0000000327']"
"['source_1.bib/0000000328', 'source_1.bib/0000000329']"
"['source_1.bib/0000000330', 'source_1.bib/0000000331']"
"['source_1.bib/0000000332', 'source_1.bib/0000000333']"
"['source_1.bib/0000000334', 'source_1.bib/0000000335']"
"['source_1.bib/0000000336', 'source_1.bib/0000000337']"
"['source_1.bib/0000000338', 'source_1.bib/0000000339']"
"['source_1.bib/0000000340', 'source_1.bib/0000000341', 'source_1.bib/0000000342']"
"['source_1.bib/0000000343', 'source_1.bib/0000000344']"
"['source_1.bib/0000000345', 'source_1.bib/0000000347']"
"['source_1.bib/0000000346', 'source_1.bib/0000000348']"
"['source_1.bib/0000000349', 'source_1.bib/0000000350']"
"['source_1.bib/0000000351', 'source_1.bib/0000000352']"
